Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Régularité;Commentaires
2015-05;Atlantique;RENNES;PARIS MONTPARNASSE;563;563;0;37;93.4;Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)
2015-06;Nord;ARRAS;PARIS NORD;334;333;1;58;82.6;
2015-06;Nord;LYON PART DIEU;LILLE;267;267;0;83;68.9;"Toujours des travaux importants sur la LGV  entrainant des limitations de vitesse, essentiellement à Lapalud. Autres événements :
05/06 : plusieurs dérangements d'installations sur LGV Nord ainsi qu'à Lyon
08/06 : dérangements d'aiguilles à Arsy et à Sathonay 
13 et 15/06 : heurt de chevreuils sur LGV Nord
19:06 : panne d'une rame TGV avec rupture caténaire à Lunel
28/06 : colis suspects à Lille et Marseille + dérangement d'installation sur LGV SE
30/06 : vol de câble à Sainghin + effets de la chaleur
Pannes d'une  rame les 11, 13 ,  27, 30 juin"
2015-06;Sud-Est;MACON LOCHE;PARIS LYON;198;196;2;20;89.8;
2015-06;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;556;555;1;182;67.2;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juin
2015-06;Sud-Est;PARIS LYON;BELLEGARDE (AIN);233;233;0;27;88.4;
2015-06;Sud-Est;PARIS LYON;CHAMBERY CHALLES LES EAUX;172;172;0;22;87.2;
2015-06;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;200;200;0;22;89.0;
2015-06;Sud-Est;PARIS LYON;LYON PART DIEU;614;612;2;50;91.8;
2015-06;Sud-Est;PARIS LYON;MACON LOCHE;205;205;0;15;92.7;
2015-06;Sud-Est;PARIS LYON;MULHOUSE VILLE;302;302;0;17;94.4;
2015-06;Atlantique;PARIS MONTPARNASSE;ST MALO;96;96;0;14;85.4;"Cette OD a été touchée le 4 par un rail cassé couplé à un affaissement caténaire à la sortie de Paris (172 TGV; 7664mn), le 5 par diverses limitations de vitesses liées aux fortes chaleurs dont une à la sortie de Paris reduisant fortement le débit des trains (82TGV; 985mn), le 26 par la rupture d'un appareil de voie en sortie de ligne grande vitesse avant Le Mans (52TGV; 923mn), le 3 par l'arrêt de sécurité d'un train dans les tunnels avant Paris (22TGV; 1035mn) lié à une presence dans les voies en sortie de gare Montparnasse (16TGV; 419mn); le 9 par un dérangement d'installation sur la branche ouest de la ligne grande vitesse (18TGV; 169mn)"
2015-06;Est;STRASBOURG;NANTES;55;55;0;3;94.5;
2015-06;Est;STRASBOURG;PARIS EST;467;467;0;54;88.4;
2015-07;Atlantique;ANGOULEME;PARIS MONTPARNASSE;356;351;5;77;78.1;"Cette ligne a été impactée par plusieurs incendies aux abords des voies, notamment dans la région de VENDÔME : le 10/07 (53 TGV retardés de 12' à 3h50), le 11/07 (20 TGV retardés de 11' à 2h47), le 17/07 (46 TGV retardés de 16' à 4h56), et un autre sur LGV le 21/07 (20 TGV retardés de 15' à 2h20). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00). Enfin, un incident caténaire au sud de TOURS à fortement perturbé la journée du 30/07 (53 TGV retardés de 6' à 6h30)."
2015-07;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;169;169;0;23;86.4;Un heurt d'animal sauvage et un envahissement des voies par des manifestants ont généré quelques retards importants en juillet
2015-07;Sud-Est;LE CREUSOT MONTCEAU MONTCHANIN;PARIS LYON;217;217;0;41;81.1;
2015-07;Est;METZ;PARIS EST;278;278;0;38;86.3;
2015-07;Sud-Est;MONTPELLIER;LYON PART DIEU;361;359;2;116;67.7;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juillet
2015-07;Est;PARIS EST;REIMS;214;214;0;23;89.3;
2015-07;Sud-Est;PARIS LYON;ANNECY;144;144;0;23;84.0;Un heurt d'animal sauvage et un envahissement des voies par des manifestants ont généré quelques retards importants en juillet
2015-07;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;202;201;1;21;89.6;
2015-07;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;207;207;0;19;90.8;
2015-07;Sud-Est;PARIS LYON;LYON PART DIEU;537;536;1;46;91.4;
2015-07;Sud-Est;PARIS LYON;MONTPELLIER;381;381;0;61;84.0;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juillet
2015-07;Sud-Est;PARIS LYON;TOULON;335;334;1;71;78.7;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juillet
2015-07;Atlantique;PARIS MONTPARNASSE;BORDEAUX ST JEAN;658;655;3;88;86.6;"Cette ligne a été impactée par plusieurs incendies aux abords des voies, notamment dans la région de VENDÔME : le 10/07 (53 TGV retardés de 12' à 3h50), le 11/07 (20 TGV retardés de 11' à 2h47), le 17/07 (46 TGV retardés de 16' à 4h56), et un autre sur LGV le 21/07 (20 TGV retardés de 15' à 2h20). Le heurt d'un poteau caténaire par une voiture à CHALAIS a perturbé la journée du 17/07 (21 TGV retardés de 11' à 4h52). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00). Enfin, un incident caténaire au sud de TOURS à fortement perturbé la journée du 30/07 (53 TGV retardés de 6' à 6h30)."
2015-07;Atlantique;PARIS MONTPARNASSE;POITIERS;508;506;2;79;84.4;"Cette ligne a été impactée par plusieurs incendies aux abords des voies, notamment dans la région de VENDÔME : le 10/07 (53 TGV retardés de 12' à 3h50), le 11/07 (20 TGV retardés de 11' à 2h47), le 17/07 (46 TGV retardés de 16' à 4h56), et un autre sur LGV le 21/07 (20 TGV retardés de 15' à 2h20). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00). Enfin, un incident caténaire au sud de TOURS à fortement perturbé la journée du 30/07 (53 TGV retardés de 6' à 6h30)."
2015-07;Atlantique;PARIS MONTPARNASSE;TOULOUSE MATABIAU;154;153;1;29;81.0;"Cette ligne a été impactée par plusieurs incendies aux abords des voies, notamment dans la région de VENDÔME : le 10/07 (53 TGV retardés de 12' à 3h50), le 11/07 (20 TGV retardés de 11' à 2h47), le 17/07 (46 TGV retardés de 16' à 4h56), et un autre sur LGV le 21/07 (20 TGV retardés de 15' à 2h20). Le heurt d'un poteau caténaire par une voiture à CHALAIS a perturbé la journée du 17/07 (21 TGV retardés de 11' à 4h52). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00). Enfin, un incident caténaire au sud de TOURS à fortement perturbé la journée du 30/07 (53 TGV retardés de 6' à 6h30)."
2015-07;Nord;PARIS NORD;DOUAI;179;178;1;24;86.5;
2015-07;Nord;PARIS NORD;DUNKERQUE;243;240;3;17;92.9;
2015-07;Sud-Est;PERPIGNAN;PARIS LYON;179;179;0;58;67.6;Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Juillet
2015-07;Atlantique;QUIMPER;PARIS MONTPARNASSE;227;227;0;20;91.2;
2015-07;Sud-Est;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;114;114;0;13;88.6;
2015-07;Atlantique;ST MALO;PARIS MONTPARNASSE;117;116;1;8;93.1;"Cette ligne a été impactée par plusieurs incendies aux abords des voies : le 12/07 à NOYEN (17 TGV retardés de 11' à 2h47), sur LGV le 21/07 (20 TGV retardés de 15' à 2h20) et le 22/07 entre LAVAL et LE MANS (26 TGV de 13' à 4h03). La présence de personnes dans les voies à l'entrée de PARIS a également entraîné de nombreux retards : le 14/07 (11 TGV retardés de 11' à 47'), le 18/07 (31 TGV retardés de 15' à 1h49). Les circulations ont été retardées par des dérangements d'installations : le 01/07 à l'entrée de PARIS en raison des fortes chaleurs (26 TGV retardés de 9' à 1h42), le 03/07 sur LGV (12 TGV retardés de 6' à 44'), le 11/07 sur LGV (38 TGV retardés de 6' à 66'), le 19/07 à l'entrée de PARIS (10 TGV retardés de 11' à 25') ; et par la panne de trains : le 18/07 sur LGV (22 TGV de 16' à 2h43), le 28/07 à l'entrée de PARIS (10 TGV de 14' à 2h00)."
2015-08;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;694;691;3;55;92.0;"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique l'OD a été touchée par la foudre sur la caténaire à Coutras le 3 (9 TGV ; 732mn), un affaissement caténaire à Ruffec (28 TGV ;  1726mn) et un dérangement des installations radio entre Mouthiers et St Aigulin (27 TGV ; 310mn) le 4 et un accident de personne à Poitiers le 8 (29 TGV ; 2219mn)."
2015-08;Nord;DOUAI;PARIS NORD;183;181;2;24;86.7;
2015-08;Nord;DUNKERQUE;PARIS NORD;259;257;2;21;91.8;
2015-08;Atlantique;LAVAL;PARIS MONTPARNASSE;215;213;2;12;94.4;
2015-08;Sud-Est;LYON PART DIEU;MARSEILLE ST CHARLES;637;637;0;131;79.4;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Sud-Est;MONTPELLIER;LYON PART DIEU;366;358;8;102;71.5;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Sud-Est;NICE VILLE;PARIS LYON;296;295;1;61;79.3;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Est;PARIS EST;METZ;299;299;0;15;95.0;
2015-08;Sud-Est;PARIS LYON;DIJON VILLE;451;451;0;24;94.7;
2015-08;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;205;205;0;9;95.6;
2015-08;Sud-Est;PARIS LYON;MONTPELLIER;372;365;7;79;78.4;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-08;Sud-Est;PARIS LYON;NICE VILLE;281;281;0;50;82.2;
2015-08;Sud-Est;PARIS LYON;TOULON;325;325;0;46;85.8;
2015-08;Atlantique;PARIS MONTPARNASSE;ANGOULEME;329;329;0;25;92.4;
2015-08;Atlantique;PARIS MONTPARNASSE;LAVAL;225;224;1;16;92.9;
2015-08;Atlantique;PARIS MONTPARNASSE;NANTES;492;492;0;47;90.4;
2015-08;Atlantique;PARIS MONTPARNASSE;VANNES;244;243;1;25;89.7;"Ce mois-ci, l'OD a été touché sur ligne garnde vitesse par un dérangement d'installations à Marcoussis le 4 (20 TGV ; 564mn), un colis susspect en gare de Paris Montparnasse le 20 (10 TGV ; 318mn), la défaillance d'une rame en sortie de gare à Paris Montparnasse le 26 (15 TGV ; 427mn), de multiples disjonctions provoquées par un oiseau en toiture de rame à Massy le 27 (14 TGV ; 325mn), un dérangement d'installation à Massy le 28 (38 TGV ; 674mn) et le 29 (11 TGV ; 331mn).
Sur ligne classique, l'OD a été touchée par le heurt d'un tracteur à Noyal Acigné le 2 (102 TGV; 7814mn), le heurt d'un animal à Malansac le 5 (5 TGV ; 297mn) et un arbre sur la caténaire à la sortie du Mans le 24 (14 TGV ; 640mn)"
2015-08;Nord;PARIS NORD;DOUAI;175;174;1;17;90.2;
2015-08;Sud-Est;TOULON;PARIS LYON;354;353;1;68;80.7;
2015-08;Sud-Est;VALENCE ALIXAN TGV;PARIS LYON;261;259;2;80;69.1;En août 2015, la régularité des TGV Sud-Est a été impactée par les conditions climatiques (incendies aux abords des voies, orages)
2015-09;Atlantique;ANGOULEME;PARIS MONTPARNASSE;345;345;0;49;85.8;
2015-09;Sud-Est;AVIGNON TGV;PARIS LYON;562;561;1;94;83.2;
2015-09;Sud-Est;CHAMBERY CHALLES LES EAUX;PARIS LYON;165;164;1;27;83.5;
2015-09;Nord;DOUAI;PARIS NORD;203;203;0;20;90.1;
2015-09;Est;METZ;PARIS EST;280;279;1;32;88.5;
2015-09;Sud-Est;MONTPELLIER;PARIS LYON;326;326;0;46;85.9;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Est;NANTES;STRASBOURG;42;42;0;4;90.5;
2015-09;Est;PARIS EST;NANCY;273;273;0;14;94.9;
2015-09;Sud-Est;PARIS LYON;BESANCON FRANCHE COMTE TGV;216;216;0;21;90.3;
2015-09;Sud-Est;PARIS LYON;LE CREUSOT MONTCEAU MONTCHANIN;200;200;0;13;93.5;
2015-09;Sud-Est;PARIS LYON;MULHOUSE VILLE;304;304;0;26;91.4;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Sud-Est;PARIS LYON;NIMES;316;316;0;42;86.7;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Sud-Est;PARIS LYON;PERPIGNAN;157;157;0;22;86.0;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Sud-Est;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;113;112;1;16;85.7;Un accident de personne sur la LGV Sud-Est le 30 septembre a retardé de nombreux TGV et provoqué des retards importants
2015-09;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;434;433;1;38;91.2;
2015-09;Atlantique;PARIS MONTPARNASSE;BREST;207;206;1;11;94.7;"Cette ligne a été touchée par les incidents suivants :
- 02/09 : panne d’un TER au Mans (7 trains touchés ; 436 minutes perdues)
- 03/09 : problème d’aiguillage à St Léger (LGV) (34 trains touchés ; 811 minutes perdues)
- 11/09 : heurt d’un sanglier vers St Arnoult (20 trains touchés ; 1231 minutes perdues)
- 24/09 : dérangement d’aiguillage à Laval (14 trains touchés ; 951 minutes perdues)
- 27/09 : accident de personne vers Vitré (14 trains touchés ; 1432 minutes perdues)"
